_key,학교명,시도,행정구,학교급,등급,유형,점수,n0,n1,y,초과순전출,코호트,위도,경도
233021626,인천동방초등학교,인천,남동구,초등학교,5,비위험,38.2,511,454,-0.11154598825831702,0.001662253634907076,0.6057692307692307,37.40316071,126.7195491
233021627,인천논현초등학교,인천,남동구,초등학교,5,비위험,46.1,591,528,-0.1065989847715736,-0.01748006708588524,0.5275590551181102,37.40518025,126.7305927
233021628,인천은봉초등학교,인천,남동구,초등학교,5,비위험,55.9,362,337,-0.06906077348066299,0.014322944945412962,0.6666666666666666,37.40547311,126.7252797
233021629,인천정각초등학교,인천,남동구,초등학교,5,비위험,39.9,950,855,-0.1,0.003011517204790689,0.6116504854368932,37.45604107,126.7152654
233021630,인천해송초등학교,인천,연수구,초등학교,5,비위험,51.0,555,480,-0.13513513513513514,0.0013545792062902328,0.616,37.3809103,126.6492847
233021631,인천상아초등학교,인천,남동구,초등학교,3,비위험,82.2,630,546,-0.13333333333333333,0.01997058153227607,0.4806201550387597,37.45747832,126.7120977
233021632,인천송명초등학교,인천,연수구,초등학교,5,비위험,34.4,1173,1070,-0.08780903665814152,0.026174283821391267,0.6909871244635193,37.37448648,126.6560771
233021633,인천미송초등학교,인천,연수구,초등학교,5,비위험,12.6,1554,1460,-0.06048906048906049,0.015382893234604261,0.9341085271317829,37.41477678,126.6133042
233021634,인천은송초등학교,인천,연수구,초등학교,5,비위험,5.9,1502,1465,-0.02463382157123835,-0.020145882640376676,0.9958333333333333,37.4139322,126.6297242
233021664,인천송담초등학교,인천,연수구,초등학교,5,비위험,6.8,913,909,-0.004381161007667032,0.034919798313678016,1.121212121212121,37.41010104,126.614909
233021800,인천박문초등학교,인천,연수구,초등학교,5,비위험,1.7,493,496,0.006085192697768763,0.03358234449693585,1.05,37.403119,126.6654985
233031126,간석여자중학교,인천,남동구,중학교,4,비위험,74.0,282,261,-0.07446808510638298,-0.01643603785306672,0.9418604651162791,37.46837559,126.710288
233031152,구월중학교,인천,남동구,중학교,5,비위험,5.9,1016,998,-0.017716535433070866,0.013496390806116839,1.124203821656051,37.45564732,126.7088267
233031178,구월여자중학교,인천,남동구,중학교,5,비위험,24.1,768,776,0.010416666666666666,-0.0009495573566128195,1.2033195020746887,37.44854554,126.7027391
233031204,남동중학교,인천,남동구,중학교,5,비위험,23.9,788,753,-0.044416243654822336,0.016783892304977708,1.2521739130434784,37.44026785,126.7382054
233031217,논곡중학교,인천,남동구,중학교,5,비위험,29.3,324,330,0.018518518518518517,-0.002251640689946153,1.1382978723404256,37.41492161,126.7120866
233031230,동인천중학교,인천,남동구,중학교,5,비위험,59.5,480,479,-0.0020833333333333333,0.010248359310053847,0.9583333333333334,37.45482878,126.697536
233031233,연성중학교,인천,연수구,중학교,5,비위험,47.4,748,751,0.004010695187165776,0.01518846656958936,0.9169811320754717,37.40899233,126.6773207
233031256,만성중학교,인천,남동구,중학교,4,비위험,64.6,385,334,-0.13246753246753246,-0.00484904328734875,0.9694656488549618,37.44923153,126.7379834
233031282,만수중학교,인천,남동구,중학교,5,비위험,57.3,164,184,0.12195121951219512,-0.00834920166555591,1.5909090909090908,37.45480199,126.73748
233031300,인천사리울중학교,인천,남동구,중학교,5,비위험,57.3,743,740,-0.004037685060565276,0.015244994572503374,1.0708333333333333,37.38569699,126.720128
233031301,인천신정중학교,인천,연수구,중학교,5,비위험,13.0,1280,1280,0.0,-0.006999868991907966,1.0285714285714285,37.4036411,126.6461098
233031308,만수북중학교,인천,남동구,중학교,4,비위험,60.5,550,474,-0.13818181818181818,0.012293813855508392,0.8762376237623762,37.46188844,126.739112
233031310,인천예송중학교,인천,연수구,중학교,3,비위험,81.2,1057,1053,-0.003784295175023652,0.0012642334205802087,0.8398950131233596,37.38341562,126.6275486
233031324,인천미송중학교,인천,연수구,중학교,5,비위험,13.0,1091,1095,0.0036663611365719525,-0.0032597509809088824,0.9835616438356164,37.41595901,126.6131619
233031334,만수여자중학교,인천,남동구,중학교,5,비위험,54.5,490,478,-0.024489795918367346,-0.004292457016476766,0.9573170731707317,37.45920281,126.7339412
233031360,만월중학교,인천,남동구,중학교,5,비위험,39.8,1043,1014,-0.027804410354745925,0.003500995935173694,0.947945205479452,37.42646913,126.7521837
233031386,상인천중학교,인천,남동구,중학교,4,비위험,60.2,540,518,-0.040740740740740744,0.01071132227301681,0.9696969696969697,37.46140184,126.7161385
233031412,상인천여자중학교,인천,남동구,중학교,4,비위험,60.6,482,462,-0.04149377593360996,-0.002251640689946153,0.852760736196319,37.45563164,126.6993977
233031438,선학중학교,인천,연수구,중학교,5,비위험,41.5,403,369,-0.08436724565756824,-0.0042877877263992805,0.9642857142857143,37.42065709,126.6984252
233031490,연수중학교,인천,연수구,중학교,3,비위험,85.1,329,276,-0.16109422492401215,-0.024199242092211918,0.9426229508196722,37.41679495,126.6864287
233031497,연화중학교,인천,연수구,중학교,5,비위험,14.1,724,720,-0.0055248618784530384,0.01973096664345115,0.9625,37.41233122,126.6803368
233031503,옥련중학교,인천,연수구,중학교,5,비위험,19.6,473,483,0.021141649048625793,-0.005300278611358283,1.129496402877698,37.42666856,126.6540099
233031516,인송중학교,인천,연수구,중학교,5,비위험,39.5,570,583,0.02280701754385965,0.006665152937916596,0.9945945945945946,37.42690268,126.6426349
233031529,인천여자중학교,인천,연수구,중학교,5,비위험,51.3,428,378,-0.11682242990654206,0.005492829606222875,1.1180555555555556,37.40452387,126.6739504
